Product ID,Category,Price,Final_Price
TEC-PH-10002275,Technology,907.152,1070.43936
TEC-PH-10002033,Technology,911.424,1075.48032
TEC-PH-10001949,Technology,213.48,251.90639999999996
TEC-AC-10003027,Technology,90.57,106.87259999999999
TEC-PH-10004977,Technology,1097.544,1295.10192
TEC-PH-10000486,Technology,371.168,437.97823999999997
TEC-PH-10004093,Technology,147.168,173.65824
TEC-AC-10000171,Technology,45.98,54.25639999999999
TEC-AC-10002167,Technology,45.0,53.099999999999994
TEC-PH-10003988,Technology,21.8,25.724
TEC-PH-10002447,Technology,1029.95,1215.341
TEC-AC-10002167,Technology,30.0,35.4
TEC-AC-10004633,Technology,13.98,16.4964
TEC-PH-10002726,Technology,167.968,198.20224
TEC-AC-10001998,Technology,19.99,23.588199999999997
TEC-PH-10004093,Technology,73.584,86.82912
TEC-AC-10001767,Technology,95.976,113.25168
TEC-AC-10001552,Technology,238.896,281.89727999999997
TEC-AC-10003499,Technology,74.112,87.45215999999999
TEC-PH-10002844,Technology,27.992,33.03056
TEC-AC-10000844,Technology,339.96,401.15279999999996
TEC-PH-10003875,Technology,68.04,80.2872
TEC-PH-10002293,Technology,59.97,70.7646
TEC-PH-10000215,Technology,384.45,453.65099999999995
TEC-PH-10001448,Technology,149.97,176.9646
TEC-PH-10001254,Technology,203.184,239.75712
TEC-PH-10004536,Technology,944.93,1115.0174
TEC-AC-10003657,Technology,54.384,64.17312
TEC-MA-10000822,Technology,8159.952,9628.74336
TEC-PH-10003931,Technology,143.976,169.89167999999998
TEC-AC-10004659,Technology,408.744,482.31792
TEC-PH-10003273,Technology,503.96,594.6727999999999
TEC-PH-10004896,Technology,149.95,176.94099999999997
TEC-AC-10002345,Technology,29.0,34.22
TEC-AC-10002323,Technology,176.8,208.624
TEC-PH-10001552,Technology,71.76,84.6768
TEC-PH-10001918,Technology,444.768,524.82624
TEC-PH-10001700,Technology,131.98,155.73639999999997
TEC-AC-10001266,Technology,20.8,24.544
TEC-PH-10002844,Technology,62.982,74.31876
TEC-MA-10000864,Technology,1188.0,1401.84
TEC-AC-10000109,Technology,89.584,105.70912
TEC-PH-10002563,Technology,302.376,356.80367999999993
TEC-MA-10001148,Technology,479.988,566.3858399999999
TEC-AC-10003832,Technology,617.976,729.21168
TEC-PH-10000011,Technology,31.984,37.74112
TEC-AC-10003832,Technology,3347.37,3949.8965999999996
TEC-PH-10001580,Technology,647.904,764.52672
TEC-AC-10000290,Technology,20.37,24.0366
TEC-MA-10000822,Technology,3059.982,3610.7787599999997
TEC-MA-10003353,Technology,2519.958,2973.55044
TEC-PH-10001433,Technology,328.224,387.30431999999996
TEC-AC-10004469,Technology,79.9,94.282
TEC-AC-10003628,Technology,209.93,247.7174
TEC-PH-10001760,Technology,1114.4,1314.992
TEC-AC-10001956,Technology,239.8,282.964
TEC-AC-10002001,Technology,255.984,302.06112
TEC-PH-10002398,Technology,178.384,210.49311999999998
TEC-MA-10002927,Technology,3991.98,4710.5364
TEC-PH-10004093,Technology,275.94,325.6092
TEC-AC-10000892,Technology,360.0,424.79999999999995
TEC-AC-10001908,Technology,99.99,117.98819999999999
TEC-PH-10003645,Technology,290.898,343.25964
TEC-PH-10004614,Technology,82.8,97.704
TEC-CO-10001449,Technology,959.984,1132.7811199999999
TEC-PH-10000702,Technology,71.928,84.87504
TEC-PH-10002293,Technology,47.976,56.61167999999999
TEC-AC-10000290,Technology,6.79,8.0122
TEC-AC-10003911,Technology,1023.936,1208.24448
TEC-AC-10002076,Technology,479.04,565.2672
TEC-AC-10004708,Technology,41.9,49.44199999999999
TEC-AC-10002335,Technology,83.976,99.09168
TEC-MA-10001681,Technology,482.34,569.1611999999999
TEC-AC-10001998,Technology,39.98,47.176399999999994
TEC-PH-10003012,Technology,246.384,290.73312
TEC-CO-10002313,Technology,1799.97,2123.9646
TEC-AC-10000158,Technology,57.584,67.94912
TEC-AC-10000158,Technology,179.95,212.34099999999998
TEC-CO-10004115,Technology,1199.976,1415.97168
TEC-AC-10004114,Technology,196.752,232.16736
TEC-MA-10000029,Technology,69.99,82.58819999999999
TEC-AC-10004659,Technology,408.744,482.31792
TEC-AC-10004659,Technology,291.96,344.51279999999997
TEC-AC-10002600,Technology,247.8,292.404
TEC-MA-10002937,Technology,1007.979,1189.41522
TEC-PH-10002365,Technology,35.12,41.441599999999994
TEC-AC-10001772,Technology,63.88,75.3784
TEC-AC-10004571,Technology,899.91,1061.8937999999998
TEC-PH-10002680,Technology,703.968,830.6822399999999
TEC-PH-10000149,Technology,95.76,112.9968
TEC-AC-10001445,Technology,9.09,10.726199999999999
TEC-AC-10002567,Technology,159.98,188.77639999999997
TEC-PH-10001924,Technology,279.96,330.35279999999995
TEC-PH-10001363,Technology,2735.952,3228.4233600000002
TEC-PH-10000376,Technology,7.992,9.43056
TEC-AC-10000303,Technology,63.984,75.50112
TEC-AC-10000991,Technology,93.98,110.8964
TEC-AC-10002399,Technology,38.04,44.8872
TEC-CO-10003236,Technology,2999.95,3539.941
TEC-AC-10000171,Technology,18.392,21.70256
TEC-PH-10003555,Technology,55.176,65.10768
TEC-AC-10003832,Technology,66.26,78.1868
TEC-PH-10000984,Technology,979.95,1156.341
TEC-AC-10001432,Technology,468.9,553.3019999999999
TEC-PH-10002262,Technology,380.864,449.4195199999999
TEC-AC-10001465,Technology,58.112,68.57216
TEC-PH-10002597,Technology,100.792,118.93455999999999
TEC-PH-10002496,Technology,374.376,441.76367999999997
TEC-PH-10000347,Technology,14.85,17.523
TEC-PH-10004977,Technology,470.376,555.04368
TEC-PH-10000586,Technology,105.584,124.58912
TEC-PH-10001254,Technology,406.368,479.51424
TEC-PH-10003800,Technology,84.784,100.04512
TEC-AC-10001266,Technology,31.2,36.815999999999995
TEC-CO-10004115,Technology,1199.976,1415.97168
TEC-PH-10002398,Technology,445.96,526.2328
TEC-PH-10001425,Technology,143.982,169.89875999999998
TEC-PH-10003963,Technology,494.376,583.3636799999999
TEC-PH-10003092,Technology,55.188,65.12184
TEC-PH-10003012,Technology,369.576,436.09968
TEC-PH-10004667,Technology,728.946,860.15628
TEC-PH-10000011,Technology,119.94,141.5292
TEC-PH-10002538,Technology,37.91,44.733799999999995
TEC-AC-10001267,Technology,119.8,141.36399999999998
TEC-PH-10002103,Technology,300.768,354.90623999999997
TEC-AC-10002857,Technology,17.88,21.098399999999998
TEC-AC-10003832,Technology,132.52,156.3736
TEC-PH-10003273,Technology,302.376,356.80367999999993
TEC-AC-10001142,Technology,316.0,372.88
TEC-AC-10001101,Technology,103.12,121.6816
TEC-PH-10004042,Technology,381.576,450.25968
TEC-AC-10003832,Technology,99.39,117.2802
TEC-AC-10003614,Technology,27.816,32.82288
TEC-MA-10004125,Technology,7999.98,9439.9764
TEC-AC-10003911,Technology,479.97,566.3646
TEC-PH-10002033,Technology,284.82,336.08759999999995
TEC-AC-10002253,Technology,166.24,196.1632
TEC-AC-10002399,Technology,15.216,17.95488
TEC-AC-10003628,Technology,119.96,141.5528
TEC-PH-10003012,Technology,307.98,363.4164
TEC-AC-10001606,Technology,299.97,353.9646
TEC-PH-10002170,Technology,55.992,66.07056
