order_id,customer_id,order_date,status
1,173.0,2025-01-11,Cancelled
2,387.0,2026-03-22,Delivered
3,206.0,2025-06-16,Delivered
4,276.0,2026-04-06,Pending
5,378.0,2024-09-27,Delivered
6,390.0,2025-10-04,Delivered
7,465.0,2026-05-27,Pending
8,410.0,2025-11-24,Pending
9,167.0,2025-01-03,Delivered
10,293.0,2025-05-27,Delivered
11,395.0,2025-03-25,Delivered
12,112.0,2024-08-25,Delivered
13,317.0,2025-12-16,Cancelled
14,380.0,2025-10-15,Cancelled
15,428.0,2026-07-03,Cancelled
16,178.0,2025-01-05,Pending
17,322.0,2026-06-11,Pending
18,381.0,2025-02-14,Cancelled
19,304.0,2026-05-29,Cancelled
20,96.0,2025-12-17,Delivered
21,297.0,2025-10-17,Pending
22,317.0,2024-12-08,Cancelled
23,185.0,2026-02-07,Delivered
24,159.0,2024-12-27,Cancelled
25,30.0,2025-11-09,Delivered
26,205.0,2025-08-24,Cancelled
27,356.0,2025-03-14,Pending
28,0.0,2024-12-21,Cancelled
29,243.0,2026-05-13,Delivered
30,395.0,2026-01-23,Pending
31,355.0,2024-12-18,Cancelled
32,15.0,2025-04-19,Pending
33,55.0,2024-11-02,Pending
34,61.0,2025-09-23,Pending
35,438.0,2026-08-05,Pending
36,4.0,2025-06-16,Cancelled
37,3.0,2024-11-23,Pending
38,355.0,2024-09-14,Cancelled
39,54.0,2025-02-26,Pending
40,319.0,2025-02-25,Cancelled
41,351.0,2024-09-06,Delivered
42,333.0,2024-11-30,Cancelled
43,319.0,2025-03-04,Pending
44,142.0,2025-06-04,Cancelled
45,470.0,2026-02-21,Cancelled
46,303.0,2025-11-01,Pending
47,261.0,2025-01-16,Delivered
48,447.0,2025-07-04,Delivered
49,286.0,2026-06-03,Cancelled
50,37.0,2025-07-13,Cancelled
51,310.0,2026-01-01,Delivered
52,169.0,2025-12-29,Cancelled
53,117.0,2025-12-13,Cancelled
54,294.0,2026-07-12,Delivered
55,390.0,2025-12-12,Delivered
56,416.0,2026-04-21,Delivered
57,451.0,2026-01-28,Cancelled
58,44.0,2024-10-23,Cancelled
59,169.0,2024-12-31,Delivered
60,58.0,2026-01-27,Pending
61,254.0,2024-10-31,Delivered
62,77.0,2025-09-29,Delivered
63,289.0,2026-03-29,Delivered
64,98.0,2025-01-11,Delivered
65,202.0,2025-06-03,Pending
66,173.0,32/13/2025,Pending
67,412.0,2026-07-11,Pending
68,231.0,2025-04-16,Pending
69,362.0,2025-06-09,Cancelled
70,464.0,2025-11-19,Pending
71,99.0,2025-06-18,Pending
72,320.0,2025-12-21,Cancelled
73,35.0,2025-01-06,Delivered
74,108.0,2026-03-22,Cancelled
75,101.0,2026-07-05,Pending
76,378.0,2025-09-03,Delivered
77,30.0,32/13/2025,Cancelled
78,281.0,2025-12-20,Delivered
79,16.0,2025-08-04,Pending
80,204.0,2025-02-24,Pending
81,485.0,2025-04-05,Cancelled
82,291.0,2026-02-22,Delivered
83,405.0,2025-05-11,Delivered
84,179.0,2024-09-02,Cancelled
85,189.0,2026-06-02,Delivered
86,390.0,2026-07-07,Cancelled
87,15.0,2024-11-10,Pending
88,51.0,2025-12-15,Cancelled
89,350.0,2024-12-21,Pending
90,116.0,2025-01-31,Pending
91,136.0,2026-01-05,Pending
92,362.0,2025-11-27,Delivered
93,241.0,2025-06-08,Delivered
94,113.0,2026-04-04,Pending
95,93.0,2025-09-06,Delivered
96,222.0,2025-10-09,Cancelled
97,422.0,2024-08-15,Delivered
98,297.0,2024-10-04,Pending
99,492.0,2026-04-04,Cancelled
100,274.0,2026-04-16,Cancelled
101,36.0,2026-05-05,Delivered
102,413.0,2024-11-05,Cancelled
103,100.0,2025-11-27,Cancelled
