product_id,product_name,category,price
1, book ,Electronics,1346.83
2, book ,Books,868.18
3, book ,Home,258.59
4,  laptop  ,Home,285.58
5,PHONE,Sports,3888.66
6,  laptop  ,Clothing,4395.63
7,PHONE,Home,80.9
8,PHONE,Sports,1375.49
9,PHONE,Home,3197.78
10,PHONE,Home,3550.48
11, book ,Sports,4226.05
12,PHONE,Books,2295.42
13,PHONE,Home,4315.98
14, book ,Electronics,3760.47
15, book ,Books,3937.8
16,Culture,Clothing,1968.79
17,PHONE,Home,1790.62
18,Maintain,Home,1476.74
19,  laptop  ,Clothing,4063.29
20,State,Books,1165.57
21,  laptop  ,Electronics,26.82
22,PHONE,Home,4998.54
23,Surface,Electronics,310.46
24,PHONE,Sports,2840.37
25,PHONE,Sports,2853.12
26,PHONE,Electronics,1763.27
27, book ,Clothing,2925.83
28,  laptop  ,Clothing,1853.64
29,  laptop  ,Sports,485.43
30, book ,Sports,1740.54
31, book ,Books,1648.85
32, book ,Home,3412.8
33,PHONE,Books,918.18
34,Society,Books,1885.21
35,PHONE,Books,1667.02
36,Significant,Home,337.72
37,Official,Sports,461.82
38,  laptop  ,Clothing,2952.02
39,Foreign,Books,4725.04
40,Institution,Home,1024.88
41,Indeed,Electronics,413.59
42, book ,Home,3492.04
43,  laptop  ,Clothing,4148.32
44,These,Electronics,914.59
45,Hospital,Books,1261.76
46,  laptop  ,Clothing,428.63
47,PHONE,Clothing,4479.17
48,PHONE,Electronics,4848.8
49,  laptop  ,Electronics,344.53
50,Television,Home,576.29
51,PHONE,Home,1016.76
52, book ,Electronics,777.35
53,Growth,Sports,4137.71
54, book ,Electronics,3327.98
55,Year,Home,1241.12
56,PHONE,Clothing,224.27
57,  laptop  ,Books,1982.3
58,  laptop  ,Books,1387.88
59,  laptop  ,Clothing,1928.82
60, book ,Clothing,16.35
61,Matter,Clothing,3643.01
62,PHONE,Books,776.59
63,Do,Books,3740.73
64,Throw,Sports,4174.9
65,PHONE,Books,4155.36
66, book ,Clothing,2519.91
67,PHONE,Electronics,3173.65
68,  laptop  ,Sports,4340.06
69, book ,Sports,4665.35
70, book ,Books,2798.63
71, book ,Clothing,1152.41
72,Pretty,Sports,2462.0
73,  laptop  ,Home,1610.51
74,PHONE,Electronics,516.86
75,Good,Electronics,1708.26
76,Size,Home,3824.57
77,Tree,Electronics,4911.06
78, book ,Books,3314.24
79, book ,Sports,4261.01
80,Guess,Sports,3797.21
81,PHONE,Home,4570.39
82,  laptop  ,Clothing,2655.67
83, book ,Clothing,2442.11
84,Collection,Clothing,2673.25
85, book ,Electronics,2417.26
86,  laptop  ,Sports,2622.89
87,  laptop  ,Books,34.3
88,Kid,Clothing,3144.56
89, book ,Books,1517.24
90,  laptop  ,Clothing,1389.18
91,Artist,Home,66.73
92,Culture,Home,4120.57
93,PHONE,Books,2667.33
94,PHONE,Books,1440.2
95,  laptop  ,Books,863.56
96,  laptop  ,Electronics,1709.23
97, book ,Clothing,4614.02
98,PHONE,Books,3945.91
99, book ,Home,4451.41
100, book ,Clothing,3158.28
101,Us,Clothing,4389.82
102, book ,Books,1048.75
103,PHONE,Home,3192.94
104,Term,Electronics,1176.33
105, book ,Home,3023.65
106,PHONE,Books,2024.98
107,PHONE,Electronics,314.36
108,PHONE,Electronics,4109.78
109,Decision,Clothing,4667.45
110, book ,Home,4642.27
111,Police,Electronics,1403.36
112,PHONE,Home,3720.68
113, book ,Sports,2487.66
114, book ,Sports,1237.12
115,Owner,Clothing,4065.84
116,Water,Home,1741.54
117,Military,Electronics,1527.48
118,  laptop  ,Home,3131.45
119,  laptop  ,Clothing,1852.13
120,Material,Sports,4959.99
121,PHONE,Books,2386.18
122,Cost,Books,3101.43
123,PHONE,Clothing,265.18
124,PHONE,Home,719.58
125,PHONE,Electronics,1730.95
126, book ,Clothing,1926.48
127,  laptop  ,Home,1631.03
128,  laptop  ,Books,708.84
129,PHONE,Sports,1783.1
130,  laptop  ,Home,4801.26
131, book ,Books,920.8
132,  laptop  ,Electronics,407.46
133,Model,Books,4971.09
134, book ,Clothing,3496.94
135,PHONE,Electronics,1543.27
136,PHONE,Home,750.74
137,Ground,Sports,1154.49
138,PHONE,Sports,4287.11
139, book ,Electronics,4822.54
140,PHONE,Electronics,549.17
141,Certainly,Clothing,3980.63
142,Scientist,Clothing,4297.95
143,Position,Books,4148.61
144,PHONE,Clothing,1380.65
145, book ,Electronics,1472.22
146, book ,Clothing,1637.47
147,  laptop  ,Clothing,1547.8
148,  laptop  ,Sports,201.18
149, book ,Electronics,145.33
150, book ,Electronics,1109.9
151,  laptop  ,Electronics,4164.96
152,PHONE,Clothing,4287.31
153, book ,Sports,1488.9
154,PHONE,Home,3864.67
155, book ,Electronics,4680.36
156,PHONE,Books,1880.86
157,PHONE,Sports,3491.17
158,  laptop  ,Sports,717.91
159,Well,Home,3460.75
160,Fall,Home,4111.95
161,PHONE,Home,4528.34
162,PHONE,Clothing,2319.35
163,PHONE,Books,496.17
164,  laptop  ,Sports,677.94
165,  laptop  ,Books,2002.84
166, book ,Home,4408.66
167,PHONE,Home,4681.25
168,PHONE,Electronics,2513.09
169,PHONE,Electronics,2275.78
170, book ,Clothing,611.87
171,Ground,Home,1844.12
172, book ,Electronics,3913.88
173,  laptop  ,Clothing,3314.78
174,PHONE,Home,2437.6
175, book ,Home,1321.94
176, book ,Sports,4159.27
177,  laptop  ,Home,501.01
178,PHONE,Electronics,4815.22
179, book ,Clothing,2765.94
180,  laptop  ,Books,3388.75
181,PHONE,Sports,1010.59
182,  laptop  ,Home,4215.97
183,Law,Home,4814.41
184,Tough,Clothing,1756.55
185,PHONE,Electronics,3936.65
186,  laptop  ,Home,4936.3
187, book ,Clothing,14.06
188,About,Home,4525.98
189,PHONE,Home,2290.77
190,PHONE,Home,2451.31
