order_item_id,order_id,product_id,quantity,price
1,58,116,3,966.21
2,215,485,3,1824.74
3,245,317,4,3042.63
4,434,284,5,1278.93
5,79,201,4,1808.36
6,218,99,4,4033.54
7,399,325,1,4139.02
8,249,498,5,4906.76
9,392,490,1,526.8
10,452,482,5,1038.94
11,406,203,4,2213.01
12,138,71,1,3201.12
13,473,57,3,4393.98
14,15,327,4,1832.51
15,197,13,2,3373.91
16,63,351,2,505.82
17,98,4,5,123.22
18,500,25,3,4530.43
19,206,375,5,1048.44
20,491,132,1,1569.59
21,460,222,1,3242.98
22,345,477,5,1312.74
23,60,443,1,3545.28
24,50,112,4,468.1
25,419,190,2,710.77
26,48,138,5,4858.25
27,469,498,3,4886.03
28,236,43,2,2816.5
29,66,344,4,344.37
30,302,20,4,4193.14
31,148,37,3,2438.23
32,391,278,2,2090.69
33,475,117,3,3982.97
34,9,44,3,2018.65
35,328,150,4,1603.82
36,394,76,2,3899.48
37,49,500,1,3824.11
38,181,235,3,2541.22
39,403,416,3,3498.84
40,375,405,4,2433.31
41,243,284,1,149.02
42,433,364,5,4644.0
43,73,84,5,2879.36
44,296,440,3,3519.74
45,170,13,3,3301.48
46,133,92,4,4691.72
47,13,238,1,3313.49
48,1,31,4,845.18
49,226,277,2,4536.7
50,329,135,2,2756.99
51,416,119,5,4750.6
52,405,178,4,1375.41
53,163,67,1,3242.12
54,258,102,3,2852.51
55,172,53,3,311.51
56,385,456,1,4552.13
57,5,121,4,1216.93
58,38,344,3,4152.68
59,435,174,4,671.08
60,35,272,2,821.66
61,248,47,4,724.94
62,96,66,4,2179.16
63,56,26,1,1043.34
64,295,95,1,275.15
65,439,311,2,2956.01
66,477,483,2,1802.02
67,309,148,4,357.55
68,59,187,1,1634.72
69,231,23,1,1810.99
70,62,381,2,970.47
71,435,447,4,1084.15
72,167,355,5,3197.59
73,421,480,2,1630.43
74,151,296,4,415.67
75,345,62,4,2196.88
76,226,95,1,1284.11
77,49,122,5,4497.26
78,76,352,2,4076.35
79,65,69,1,3514.02
80,400,246,2,988.11
81,309,92,3,4460.86
82,390,406,5,250.41
83,28,377,3,2008.18
84,267,38,4,3293.83
85,178,198,5,2771.8
86,13,348,1,3036.22
87,237,86,3,203.43
88,380,494,1,3384.62
89,468,198,4,4935.76
90,380,257,2,1126.22
91,147,170,3,2841.08
92,114,495,2,3139.05
93,65,442,2,1617.86
94,377,242,4,4540.74
95,395,54,5,3318.34
96,133,65,3,4634.07
97,109,415,4,4434.14
98,328,187,2,1547.16
99,165,194,3,3640.79
100,441,76,4,1717.94
101,387,462,3,768.74
102,434,483,1,4894.33
103,40,412,1,932.65
104,34,443,5,3190.94
105,496,153,4,4294.07
106,22,196,5,2135.44
107,26,293,2,4145.28
108,395,98,5,1663.8
109,55,167,3,3009.27
110,45,242,4,853.06
111,142,49,2,3613.07
112,339,141,3,3306.57
113,255,223,4,574.11
114,331,318,1,1748.46
115,496,131,1,1312.71
116,313,391,1,4435.51
117,330,133,4,4889.62
118,379,35,4,2653.8
119,61,23,3,124.61
120,263,493,3,2029.23
121,21,228,3,2971.83
122,417,68,2,2478.38
123,483,325,2,512.19
124,162,52,5,784.67
125,165,305,3,1733.82
126,417,320,1,4240.83
127,197,342,3,2584.98
128,339,184,4,3113.66
129,63,242,1,4236.67
130,421,299,4,4398.71
131,292,196,5,4592.32
132,273,5,4,328.77
133,493,279,1,3501.93
134,108,321,4,3033.17
135,167,500,3,2796.21
136,306,470,1,506.01
137,107,496,3,4974.48
138,56,37,2,1646.99
139,117,264,3,4885.85
140,403,299,2,1885.61
141,482,190,4,115.03
142,247,414,2,4134.46
143,104,38,4,2209.54
144,460,59,1,812.2
145,345,439,1,2056.78
146,238,168,3,4990.93
147,192,132,2,816.53
148,321,394,1,3533.91
149,101,229,4,4479.31
150,211,158,4,943.21
151,452,396,3,4742.62
152,67,66,4,3190.62
153,476,118,3,4317.08
154,271,83,5,756.01
155,123,460,4,4691.52
156,444,155,2,3715.1
157,234,79,3,1460.83
158,288,62,3,4649.14
159,335,104,2,4860.37
160,167,319,1,3583.21
161,490,47,5,2534.01
162,1,152,4,3237.73
163,275,446,5,155.62
164,489,337,5,3444.79
165,428,56,1,2935.98
166,311,90,5,4165.2
167,288,363,5,2649.64
168,104,138,4,2379.63
169,332,172,3,1064.78
170,339,442,1,2176.48
171,341,378,5,4112.92
172,317,176,5,2340.58
173,380,313,2,371.93
174,401,475,4,180.69
175,107,223,1,3215.88
176,482,443,2,3823.71
177,336,481,1,1948.06
178,273,422,5,2874.67
179,449,350,5,2526.31
180,49,306,1,3225.67
181,9,51,1,3080.22
182,186,407,5,354.27
183,486,32,5,4461.16
184,486,49,2,3544.79
185,193,97,4,2668.77
186,445,168,2,4367.38
187,454,213,3,2610.28
188,397,90,1,173.04
189,225,355,4,4493.79
190,79,486,5,4685.0
191,243,346,5,701.66
192,99,264,5,2342.98
193,70,468,2,3140.32
194,222,198,4,3892.25
195,451,27,4,3390.06
196,265,397,1,4516.97
197,77,127,4,3314.08
198,155,187,1,2874.42
199,494,286,5,4118.02
200,51,493,3,3512.26
201,118,101,4,147.44
202,222,440,2,3472.31
203,183,269,2,312.98
204,328,217,5,925.62
205,178,355,3,2958.8
206,162,286,1,196.33
207,204,94,1,732.7
208,173,397,3,1933.02
209,74,129,2,1310.88
210,202,450,2,2451.3
211,418,90,3,2709.91
212,291,307,4,188.85
213,136,234,4,2527.41
214,65,57,1,2659.11
